POSITIONNAME|EFFECTIVESTARTDATE|EFFECTIVEENDDATE|PAYEEID|PAYEETYPE|PLANNAME|MANAGERNAME|TITLENAME|POSITIONGROUPNAME|TARGETCOMPENSATION|UNITTYPEFORTARGETCOMPENSATION|BUSINESSUNITNAME|DESCRIPTION|GENERICATTRIBUTE1|GENERICATTRIBUTE2|GENERICATTRIBUTE3|GENERICATTRIBUTE4|GENERICATTRIBUTE5|GENERICATTRIBUTE6|GENERICATTRIBUTE7|GENERICATTRIBUTE8|GENERICATTRIBUTE9|GENERICATTRIBUTE10|GENERICATTRIBUTE11|GENERICATTRIBUTE12|GENERICATTRIBUTE13|GENERICATTRIBUTE14|GENERICATTRIBUTE15|GENERICATTRIBUTE16|GENERICNUMBER1|UNITTYPEFORGENERICNUMBER1|GENERICNUMBER2|UNITTYPEFORGENERICNUMBER2|GENERICNUMBER3|UNITTYPEFORGENERICNUMBER3|GENERICNUMBER4|UNITTYPEFORGENERICNUMBER4|GENERICNUMBER5|UNITTYPEFORGENERICNUMBER5|GENERICNUMBER6|UNITTYPEFORGENERICNUMBER6|GENERICDATE1|GENERICDATE2|GENERICDATE3|GENERICDATE4|GENERICDATE5|GENERICDATE6|GENERICBOOLEAN1|GENERICBOOLEAN2|GENERICBOOLEAN3|GENERICBOOLEAN4|GENERICBOOLEAN5|GENERICBOOLEAN6|CREDITSTARTDATE|CREDITENDDATE|PROCESSINGSTARTDATE|PROCESSINGENDDATE
55846-AKF-PA|05/01/2022||55846|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
33396-AKF-PA|05/01/2022||33396|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
2834-AKF-EKC|11/01/2021||2834|Participant||31680-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
81257-AKF-PA|12/01/2022||81257|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||12/01/2022|01/01/2200|12/01/2022|01/01/2200
81292-AKF-PA|06/01/2022||81292|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||06/01/2022|01/01/2200|06/01/2022|01/01/2200
64083-AKF-PA|05/01/2022||64083|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
7556-AKF-EKC|11/01/2021||7556|Participant||31680-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
62229-AKF-PA|04/01/2023||62229|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||04/01/2023|01/01/2200|04/01/2023|01/01/2200
79716-AKF-EA|11/01/2021||79716|Participant||31680-OTHER|AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
29193-AKF-EKC|11/01/2021||29193|Participant||31680-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
80804-AKF-PA|09/01/2022||80804|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||09/01/2022|01/01/2200|09/01/2022|01/01/2200
61676-AKF-PA|05/01/2022||61676|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
38849-AKF-DB|11/01/2021||38849|Participant||81930-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
76904-AKF-DB|11/01/2021||76904|Participant||81930-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
58481-AKF-DB|11/01/2021||58481|Participant||81930-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
83985-AKF-DB|11/01/2021||83985|Participant||81930-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
28628-AKF-DB|11/01/2021||28628|Participant||81930-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
78287-AKF-DB|11/01/2021||78287|Participant||78209-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
56454-AKF-DB|11/01/2021||56454|Participant||78209-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
78288-AKF-DB|11/01/2021||78288|Participant||78209-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
80012-AKF-DB|11/01/2021||80012|Participant||78209-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
61041-AKF-DB|11/01/2021||61041|Participant||36079-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
55838-AKF-DB|11/01/2021||55838|Participant||36079-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
44804-AKF-DB|11/01/2021||44804|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
67531-AKF-DB|11/01/2021||67531|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
83702-AKF-DB|11/01/2021||83702|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
36072-AKF-DB|11/01/2021||36072|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
69354-AKF-DB|08/01/2022||69354|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||08/01/2022|01/01/2200|08/01/2022|01/01/2200
45462-AKF-DB|11/01/2021||45462|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
47786-AKF-DB|10/01/2022||47786|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||10/01/2022|01/01/2200|10/01/2022|01/01/2200
77660-AKF-DB|11/01/2021||77660|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
70030-AKF-DB|03/01/2023||70030|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||03/01/2023|01/01/2200|03/01/2023|01/01/2200
82958-AKF-DB|08/01/2022||82958|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||08/01/2022|01/01/2200|08/01/2022|01/01/2200
58228-AKF-DB|11/01/2021||58228|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
33233-AKF-DB|11/01/2021||33233|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
70080-AKF-DB|11/01/2021||70080|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
48374-AKF-DB|11/01/2021||48374|Participant||34287-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
89766-AKF-DB|08/01/2022||89766|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||08/01/2022|01/01/2200|08/01/2022|01/01/2200
90658-AKF-DB|11/01/2022||90658|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2022|01/01/2200|11/01/2022|01/01/2200
86900-AKF-DB|08/01/2022||86900|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||08/01/2022|01/01/2200|08/01/2022|01/01/2200
81070-AKF-DB|02/01/2023||81070|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||02/01/2023|01/01/2200|02/01/2023|01/01/2200
92286-AKF-DB|04/01/2023||92286|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||04/01/2023|01/01/2200|04/01/2023|01/01/2200
91594-AKF-DB|03/01/2023||91594|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||03/01/2023|01/01/2200|03/01/2023|01/01/2200
92360-AKF-DB|04/01/2023||92360|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||04/01/2023|01/01/2200|04/01/2023|01/01/2200
86897-AKF-DB|08/01/2022||86897|Participant||85065-OTHER|AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||08/01/2022|01/01/2200|08/01/2022|01/01/2200
32620-AKF-PKM|11/01/2021||32620|Participant||77135-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
56125-AKF-CRP|11/01/2021||56125|Participant||82023-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
4575-AKF-PKL|11/01/2021||4575|Participant||82023-OTHER|AKF-PKL||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
83019-AKF-CRP|11/01/2021||83019|Participant||82023-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
39455-AKF-PKM|11/01/2021||39455|Participant||82023-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
29921-AKF-CRP|11/01/2021||29921|Participant||82023-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
58590-AKF-CRP|11/01/2021||58590|Participant||82023-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
35646-AKF-PKM|11/01/2021||35646|Participant||82023-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
83014-AKF-CRP|11/01/2021||83014|Participant||82023-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
82205-AKF-PKL|11/01/2021||82205|Participant||82023-OTHER|AKF-PKL||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
83755-AKF-PKM|02/01/2023||83755|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||02/01/2023|01/01/2200|02/01/2023|01/01/2200
31220-AKF-PKM|11/01/2021||31220|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
63349-AKF-PKM|11/01/2021||63349|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
92925-AKF-PKM|06/01/2023||92925|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||06/01/2023|01/01/2200|06/01/2023|01/01/2200
63208-AKF-CRP|11/01/2021||63208|Participant||82200-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
30289-AKF-PKL|11/01/2021||30289|Participant||82200-OTHER|AKF-PKL||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
70031-AKF-CRP|06/01/2023||70031|Participant||82200-OTHER|AKF-CRP||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||06/01/2023|01/01/2200|06/01/2023|01/01/2200
83734-AKF-PKM|11/01/2021||83734|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
78880-AKF-PKM|11/01/2021||78880|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
78881-AKF-PKM|11/01/2021||78881|Participant||82200-OTHER|AKF-PKM||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
30818-AKF-CRP|11/01/2021||30818|Participant||82200-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
56147-AKF-CRP|11/01/2021||56147|Participant||82200-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
82858-AKF-CRP|11/01/2021||82858|Participant||82200-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
82856-AKF-CRP|11/01/2021||82856|Participant||82200-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
62066-AKF-CRP|11/01/2021||62066|Participant||62675-OTHER|AKF-CRP||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
79448-AKF-GA|11/01/2021||79448|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
68403-AKF-GA|12/01/2022||68403|Participant||48859-OTHER|AKF-GA||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||12/01/2022|01/01/2200|12/01/2022|01/01/2200
76611-AKF-GA|11/01/2021||76611|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
36075-AKF-GA|11/01/2021||36075|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
93044-AKF-GA|08/01/2023||93044|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||08/01/2023|01/01/2200|08/01/2023|01/01/2200
48404-AKF-GA|11/01/2021||48404|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
76528-AKF-GA|11/01/2021||76528|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
76055-AKF-GA|11/01/2021||76055|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
78417-AKF-GA|11/01/2021||78417|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
45731-AKF-GA|11/01/2021||45731|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
76094-AKF-GA|11/01/2021||76094|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
42979-AKF-GA|11/01/2021||42979|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
70567-AKF-GA|11/01/2021||70567|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
76448-AKF-GA|11/01/2021||76448|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
5484-AKF-GA|11/01/2021||5484|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
24983-AKF-EKC|11/01/2021||24983|Participant||48859-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
49559-AKF-GA|11/01/2021||49559|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
49922-AKF-PA|05/01/2022||49922|Participant||48859-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
62937-AKF-EA|11/01/2021||62937|Participant||48859-OTHER|AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
29189-AKF-GA|11/01/2021||29189|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
79784-AKF-GA|11/01/2021||79784|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
67151-AKF-GA|11/01/2021||67151|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
57334-AKF-GA|11/01/2021||57334|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
77310-AKF-EA|11/01/2021||77310|Participant||48859-OTHER|AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
78418-AKF-GA|11/01/2021||78418|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
27918-AKF-GA|11/01/2021||27918|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
75883-AKF-GA|09/01/2023||75883|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||09/01/2023|01/01/2200|09/01/2023|01/01/2200
83959-AKF-GA|11/01/2021||83959|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
82828-AKF-GA|11/01/2021||82828|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
5455-AKF-GA|11/01/2021||5455|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
75886-AKF-GA|11/01/2021||75886|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
92321-AKF-GA|04/01/2023||92321|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||04/01/2023|01/01/2200|04/01/2023|01/01/2200
29505-AKF-GA|11/01/2021||29505|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
35097-AKF-GA|11/01/2021||35097|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
45482-AKF-GA|05/01/2022||45482|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
60592-AKF-GA|11/01/2021||60592|Participant||48859-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
68474-AKF-GA|11/01/2021||68474|Participant||78207-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
55522-AKF-GA|11/01/2021||55522|Participant||78207-OTHER|AKF-GA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
75889-AKF-PA|05/01/2022||75889|Participant||77349-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||04/30/2023||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
28098-AKF-EKC|11/01/2021||28098|Participant||35535-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
